 Psychology and  Personality Psychology: 1.5910'
' Environmental Science and  Ecology: 1.4101'
' Archaeology and  Culture: 1.5943'
' E-learning and  Instructional Design: 1.0570'
' Communication and  Mass Communication: 1.0532'
' Software Engineering and  Data Mining: 1.6463'
' Chemistry and  Ecology: 1.0384'
' Information Technology and  Computer Networks: 1.0752'
' Literature and  Gender: 1.6320'
' Fashion design and  Teacher Education: 1.1216'
' Urban Planning and  Environmental Sustainability: 1.4374'
' Communication and  Public Relations: 1.0062'
' International Law and  Political Science: 1.9158'
' Education and  Leadership: 1.4445'
' Database Systems and  Computer Networks: 1.7670'
' Zoology and  Biology: 1.1933'
' Political Science and  Political Economy and History: 1.4177'
' Climate Change and  Sustainable Development: 1.8167'
' Educational management and leadership and  Business Management: 1.0100'
' Marketing and  Internet Marketing: 1.0797'
' Biochemistry and  Biology: 1.5943'
' Film Studies and  Film Analysis: 1.4310'
' Critical Theory and  Anthropology: 1.5532'
' Mechanical Engineering and  Thermal Engineering: 1.6136'
' Mechanical Engineering and  Computational Fluid Dynamics: 1.1926'
' Sexuality and  Gender and Sexuality: 1.2852'
' Social Sciences and  Information Technology: 1.0666'
' Languages and Linguistics and  Social Sciences: 1.2230'
' Education and  Ecology: 1.0770'
' Teaching English as a Second Language and  English: 1.3681'
' Languages and Linguistics and  Culture: 1.0199'
' Business and  Business Management: 1.8277'
' Nanoscience and  Biotechnology: 1.0646'
' Philosophy and  History of Science: 1.0888'
' Management and  Business Management: 1.6476'
' Management and  Information Technology: 1.0865'
' Conservation Biology and  Environmental Sustainability: 1.4276'
' Accounting and  Financial Accounting: 1.9531'
' Psychology and  Psychotherapy and Counseling: 1.1114'
' Knowledge Management and  E-learning: 1.0207'
' Politics and  Culture: 1.3640'
' Education and  Project Management: 1.0139'
' International Relations and  Globalization: 1.3893'
' Renewable Energy and  Energy and Environment: 1.1403'
' Sociology and  Social Movements: 1.3351'
' Natural Language Processing and  Theory Of Mechanisms: 1.3134'
' History and  Human Rights: 1.2733'
' History and  Social History: 1.9391'
' Philosophy and  Filosofa: 1.1444'
' Engineering and  History: 1.0371'
' Criminology and  Criminal Justice: 1.0879'
' Finance and  Corporate Finance: 1.4117'
' Prehistoric Archaeology and  Neolithic Archaeology: 1.0619'
' Philosophy and  Humanities: 1.5016'
' Education and  Educational Psychology: 1.3919'
' New Media and  Journalism: 1.7498'
' Economia and  Antropologa: 1.7744'
' Urban Studies and  Urban Design: 1.9537'
' International Relations and  Environmental Sustainability: 1.7129'
' Art Theory and  Contemporary Art: 1.3995'
' Citizenship and  Immigration Status & Nationality: 1.1849'
' Economics and  Financial Economics: 1.6011'
' Business and  Humanities: 1.0098'
' Bioinformatics and  Immunology: 1.6185'
' Physics and  Information Technology: 1.7678'
' Gender Studies and  Human Rights: 1.0367'
' History and  Environmental Sustainability: 1.7600'
' Critical Theory and  Gender Studies: 1.9988'
' Media Studies and  Social Sciences: 1.2031'
' Electrical Engineering and  Politics: 1.3086'
' Medieval History and  Medieval Archaeology: 1.0840'
' Teacher Education and  Mathematics Education: 1.2638'
' Development Studies and  Gender: 1.0431'
' Multiculturalism and  Nationalism: 1.0612'
' Art History and  Art Theory: 1.5500'
' Online Learning and  Instructional Design: 1.4764'
' Humanities and  Literature: 1.5378'
' Distance Education and  Online Learning: 1.3225'
' Supply Chain Management and  Logistics: 1.9657'
' Chemistry and  Analytical Chemistry: 1.2269'
' Philosophy and  Biology: 1.7079'
' Computer Science and  Languages and Linguistics: 1.1554'
' Business and  Project Management: 1.3100'
' Journalism and  Social Media: 1.3440'
' Criminology and  Criminal Law: 1.4587'
' Social Sciences and  Teacher Education: 1.7742'
' Sociology and  Languages and Linguistics: 1.0642'
' History and  Nationalism: 1.3051'
' Electrical Engineering and  Social Sciences: 1.0286'
' Physics and  Quantum Physics: 1.7840'
' Literary Criticism and  Literary Theory: 1.5070'
' International Relations and  Multiculturalism: 1.0422'
' Roman History and  Roman archaeology: 1.3508'
' Chemical Engineering and  Education: 1.3961'
' Management and  Business Administration: 1.1975'
' Computer Science and  Programming Languages: 1.5768'
' Civil Engineering and  Architecture: 1.9547'
' Gender Studies and  Social Media: 1.0893'
' Archaeology and  Social Sciences: 1.6720'
' Cultural Studies and  Popular Culture: 1.3904'
' Computer Science and  Innovation: 1.0220'
' Education and  Critical Pedagogy: 1.7464'
' Pragmatics and  Semantics: 1.0337'
' Psychology and  Philosophy of Mind: 1.0651'
' Renewable Energy and  Environmental Sustainability: 1.7744'
' Education and  Data Mining: 1.3607'
' Social Psychology and  Philosophy: 1.3175'
' Political Science and  Nationalism: 1.1181'
' Artificial Intelligence and  Computer Engineering: 1.9806'
' Economics and  Public Policy: 1.1691'
' Sociology and  Art History: 1.3662'
' Sociology and  Social Psychology: 1.8097'
' Sociology and  Political Economy: 1.2149'
' Computer Science and  Politics: 1.2137'
' Armenian Studies and  International HRM: 1.2459'
' Media Studies and  Development communication: 1.0295'
' Immunology and  Biotechnology: 1.7708'
' Cultural Studies and  Languages and Linguistics: 1.2947'
' Marketing and  Psychology: 1.7532'
' Psychology and  Gender Studies: 1.5761'
' Chemistry and  Information Technology: 1.0632'
' Ethics and  Philosophy Of Law: 1.1211'
' Fluid Mechanics and  Aerodynamics: 1.3025'
' Epidemiology and  Public Health: 1.1439'
' Pragmatics and  Sociolinguistics: 1.5308'
' Landscape Ecology and  Ecology: 1.3227'
' Mechanical Engineering and  Materials Science: 1.3716'
' Software Engineering and  Information Technology: 1.4498'
' Science Communication and  Biodiversity: 1.0079'
' Computer Science and  Data Structures: 1.9922'
' Engineering and  Gears: 1.1271'
' History and  Historiography: 1.1392'
' Philosophy and  English Literature: 1.6567'
' Geography and  Ecology: 1.1519'
' Hotel Management and  Irrigation Systems Design: 1.5837'
' Psychology and  Music: 1.3315'
' Geography and  Human Geography: 1.5442'
' Natural Language Processing and  Gears: 1.1190'
' Cultural Studies and  Social Psychology: 1.1803'
' Sexuality and  Gender: 1.2308'
' Languages and Linguistics and  English: 1.9538'
' Instructional Technology and  Instructional Design: 1.0234'
' Cognitive Psychology and  Educational management and leadership: 1.0140'
' Business Administration and  Education: 1.3221'
' Cultural History and  Art History: 1.2545'
' Mechanical Engineering and  Fluid Mechanics: 1.0359'
' Psychoanalysis and  Philosophy: 1.0580'
' Media Studies and  Media and Cultural Studies: 1.0172'
' Management and  Sociology: 1.5115'
' Communication and  Biology: 1.0229'
' Psychology and  Health Psychology: 1.2129'
' Microbiology and  Biotechnology: 1.7066'
' Bioinformatics and  Network Security: 1.9002'
' English Literature and  Teaching English as a Second Language: 1.0774'
' Critical Theory and  Art History: 1.4345'
' Knowledge Management and  Publisher: 1.7488'
' Chemistry and  Medicinal Chemistry: 1.0451'
' Wireless Communications and  Computer Networks: 1.2806'
' Environmental Sustainability and  Urban Design: 1.0665'
' Critical Theory and  History: 1.6375'
' Artificial Intelligence and  Simulation: 1.3863'
' Mechanical Engineering and  Physics: 1.5556'
' Design and  Industrial Design: 1.3657'
' E-learning and  Information Technology: 1.9912'
' Economics and  Architecture: 1.3282'
' Electrical Engineering and  Artificial Intelligence: 1.2600'
' Engineering and  Communication: 1.9021'
' International Relations and  Politics: 1.7615'
' Communication and  Globalization: 1.7525'
' Management and  Environmental Sustainability: 1.1275'
' Critical Theory and  Political Science: 1.7099'
' Social Psychology and  Education: 1.6540'
' Finance and  Social Sciences: 1.6795'
' International Relations and  Middle East Studies: 1.1607'
' Second Language Acquisition and  Languages and Linguistics: 1.5303'
' History and  Ottoman History: 1.0439'
' Consumer Behavior and  Market Research: 1.1049'
' Philosophy and  Continental Philosophy: 1.4165'
' Organic agriculture and  Hotel Management: 1.6435'
' Psychology and  Culture: 1.5608'
' Electrical Engineering and  Electronic Engineering: 1.4936'
' Mathematics and  Applied Mathematics: 1.3017'
' Peace and Conflict Studies and  Political Science: 1.1523'
' History and  Intellectual History: 1.2098'
' Entrepreneurship and  Sustainable Development: 1.1055'
' Political Philosophy and  Education: 1.0254'
' Computer Science and  Web 2.0: 1.1260'
' Web 2.0 and  Social Media: 1.3952'
' Sociology and  Nationalism: 1.2882'
' Business and  Cultural Studies: 1.1925'
' Comparative Law and  European Law: 1.5156'
' International Relations and  International Political Economy: 1.4678'
' Computational Fluid Dynamics and  Fluid Mechanics: 1.5352'
' Physics and  Materials Science: 1.9594'
' Discourse Analysis and  Cognitive Linguistics: 1.1258'
' Communication and  Sustainable Development: 1.2249'
' Geography and  Philosophy: 1.1233'
' Anthropology and  Research Methodology: 1.3982'
' Philosophy and  Philosophy Of Language: 1.6523'
' International HRM and  Armenian Culture: 1.1899'
' Literatura and  Educacin: 1.1283'
' Bioinformatics and  Computer Science: 1.1044'
' Computational Fluid Dynamics and  Fluid Dynamics: 1.3358'
' Operating Systems and  Computer Networks: 1.0656'
' History and  English Literature: 1.3545'
' Mechanical Engineering and  Computer Science: 1.7263'
' Software Engineering and  Computer Networks: 1.3579'
' International Relations and  Public Administration and Policy: 1.6481'
' Computer Science and  Computer Vision: 1.7265'
' Urban Planning and  Housing: 1.0795'
' History and  Historia: 1.7354'
' Cultural Studies and  English Literature: 1.4793'
' Science Education and  Physics Education: 1.6030'
' Publisher and  International Mangement: 1.7636'
' Climate Change and  Biodiversity: 1.1638'
' Public Policy and  Political Economy: 1.5839'
' Algorithms and  Computer Networks: 1.8113'
' International Relations and  Media Studies: 1.1574'
' Distance Education and  Instructional Design: 1.5709'
' Algorithms and  Java Programming: 1.3406'
' Robotics and  Computer Science: 1.6314'
' Materials Science and  Chemistry: 1.7043'
' Sociology and  Globalization: 1.2611'
' Art History and  Culture: 1.1440'
' Materials Science and  Nanoscience: 1.5367'
' Civil Engineering and  Social Sciences: 1.3481'
' Engineering and  Robotics: 1.1990'
' Sociology and  Public Policy: 1.0208'
' History and  Gender: 1.6557'
' Patrimonio Cultural and  Historia: 1.4907'
' Research Methodology and  Information Technology: 1.0931'
' Ancient History and  Classics: 1.9557'
' Neuroscience and  Cognitive Neuroscience: 1.2785'
' TESOL and  Applied Linguistics: 1.1259'
' Political Sociology and  Political Science: 1.5212'
' Biochemistry and  Microbiology: 1.1577'
' Media Studies and  Digital Media: 1.2057'
' Archaeology and  Near Eastern Archaeology: 1.3150'
' Sociology and  Development Studies: 1.7452'
' Education and  Mathematics Education: 1.9856'
' Chemical Engineering and  Water quality: 1.3568'
' Education and  Design: 1.4419'
' Web 2.0 and  E-learning: 1.0040'
' Cultural Studies and  Research Methodology: 1.0229'
' Media Studies and  Political Science: 1.2483'
' Critical Theory and  Social Sciences: 1.4810'
' Communication and  Development communication: 1.1540'
' Archaeology and  Medieval Studies: 1.1183'
' Chemistry and  Physical Chemistry: 1.3132'
' Psychology and  Languages and Linguistics: 1.9272'
' Social Sciences and  Accounting: 1.6055'
' Comparative Law and  Banking: 1.0312'
' Political Science and  Public Administration and Policy: 1.6655'
' Business and  Technology: 1.3409'
' History and  Early Modern History: 1.2707'
' Education and  Teaching English as a Second Language: 1.4282'
' Education and  Education Policy: 1.6432'
' Design and  Design Research: 1.0236'
' Architecture and  Landscape Architecture: 1.9794'
' Roman Architecture and  Roman archaeology: 1.0703'
' Teacher Education and  Reflective Teaching: 1.4190'
' Engineering and  Mathematics: 1.6108'
' Constitutional Law and  International Law: 1.6596'
' Business and  Gender Studies: 1.0825'
' Climate Change and  Biology: 1.6152'
' Historia and  Economia: 1.9158'
' Tourism and  Hospitality Management: 1.7572'
' Finance and  Corporate Governance: 1.1382'
' Knowledge Management and  International Mangement: 1.9963'
' Business and  Information Technology: 1.7510'
' Ethics and  Education: 1.5184'
' Tourism Studies and  Cultural Tourism: 1.2008'
' Philosophy and  Cultural Theory: 1.1285'
' Cognitive Science and  Philosophy: 1.6382'
' Philosophy and  Politics: 1.1804'
' Philosophy and  Media Studies: 1.7147'
' Zoology and  Computer Science: 1.4325'
' Archaeology and  Environmental Sustainability: 1.1280'
' Computer Science and  Environmental Sustainability: 1.4630'
' Software Engineering and  Artificial Intelligence: 1.3630'
' Entrepreneurship and  Globalization: 1.4798'
' Music and  Economics: 1.6856'
' Direito and  Direito Constitucional: 1.5928'
' Technology and  Social Sciences: 1.9042'
' History and  Ethics: 1.1059'
' Biotechnology and  Ecology: 1.1025'
' Pemrograman Database and  Pemrograman VB 6.0: 1.1824'
' Social Research Methods and Methodology and  Qualitative methodology: 1.1389'
' Entrepreneurship and  Consumer Behavior: 1.9290'
' Music and  Music Theory: 1.2106'
' Research Methodology and  Gender: 1.0011'
' Psychology and  Psychiatry: 1.1128'
' Constitutional Law and  Human Rights: 1.6686'
' History and  Biology: 1.2727'
' Ancient History and  Classical Archaeology: 1.0811'
' Archaeology and  Archaeological GIS: 1.1443'
' Ethics and  Environmental Sustainability: 1.1110'
' Software Engineering and  Software Development: 1.0482'
' Education and  Human Resource Management: 1.2482'
' Social Sciences and  Social Media: 1.3138'
' Data Structures and  Java Programming: 1.2675'
' Gender and Sexuality and  Gender: 1.8914'
' Management and  Publisher: 1.7479'
' Cultural Studies and  Political Philosophy: 1.1670'
' Music and  Biology: 1.0869'
' Organic agriculture and  Irrigation Systems Design: 1.8572'
' Computer Science and  Wireless Sensor Networks: 1.3163'
' Information Security and  Cryptography: 1.4245'
' Pascal and  Logika Dan Algoritma: 1.0104'
' Physics and  Theoretical Physics: 1.3791'
' Teacher Education and  Educational Research: 1.8221'
' Psychology and  Health Sciences: 1.2642'
' Artificial Intelligence and  Artificial Neural Networks: 1.1272'
' Music and  Humanities: 1.4523'
' Uploading and  History of Mathematics: 1.9705'
' History and  Medieval Studies: 1.7827'
' Cognitive Science and  Anthropology: 1.0581'
' Natural Language Processing and  Data Mining: 1.5364'
' Literature and  Linguistics: 1.2032'
' Religion and  Psychology: 1.2777'
' Human Resource Management and  Human Resources: 1.3376'
' Civil Law and  Banking: 1.0148'
' Knowledge Management and  Information Technology: 1.0847'
' Management and  Philosophy: 1.2979'
' International Relations and  Political Philosophy: 1.9531'
' Technology and  Educational Technology: 1.1728'
' Organic agriculture and  Hospitality Management: 1.6471'
' Development communication and  Media: 1.0314'
' Renewable Energy and  Wind Energy: 1.2942'
' Translation Studies and  Translation theory: 1.0092'
' Computer Engineering and  Computer Networks: 1.2973'
' Computer Science and  Informatics: 1.2468'
' Public Administration and  Political Science: 1.7997'
' International Relations and  Humanities: 1.1614'
' Numerical Analysis and  Computational Mathematics: 1.1077'
' Wine Marketing and  Branding: 1.7609'
' History and  Languages and Linguistics: 1.6690'
' Leadership and  Human Resource Management: 1.8699'
' Public Health and  Medicine: 1.0697'
' Anthropology and  Accounting: 1.1058'
' Physics and  Nanotechnology: 1.6570'
' Business and  Physics: 1.1521'
' Knowledge Management and  Project Management: 1.2551'
' Psychology and  Cognitive Neuroscience: 1.0572'
' Architecture and  Green architecture: 1.0397'
' Public Policy and  Education: 1.3436'
' Archaeology and  History of Archaeology: 1.1945'
' Finance and  Communication: 1.2259'
' Business and  International Business: 1.4626'
' Sociology and  Humanities: 1.1990'
' Statistics and  Applied Statistics: 1.0048'
' Philosophy and  Islamic Studies: 1.4154'
' Public Policy and  Social Sciences: 1.1488'
' Environmental Education and  Ecology: 1.5444'
' Journalism and  Development communication: 1.0413'
' Human Rights and  International Human Rights Law: 1.1169'
' Computer Science and  Java Programming: 1.6159'
' Bioinformatics and  Genomics: 1.2102'
' Globalization and  Innovation: 1.5928'
' Strategy and  Wine Marketing: 1.7454'
' Pemrograman VB 6.0 and  Visual Basic 6.0: 1.1782'
' Research Methodology and  Research: 1.3162'
' Geography and  Sustainable Development: 1.2014'
' Communication and  Consumer Behavior: 1.9925'
' International Relations and  Foreign Policy Analysis: 1.1624'
' Sociolinguistics and  Linguistics: 1.7974'
' Sustainable Development and  Strategic Management: 1.9216'
' Electrical Engineering and  Robotics: 1.1794'
' Theory Of Mechanisms and  Gears: 1.1294'
' Constitutional Law and  Human Rights Law: 1.5095'
' Cultural Studies and  New Media: 1.7244'
' Psychology and  Mental Health: 1.8476'
' Gender Studies and  Feminism: 1.0149'
' History and  Political Philosophy: 1.3017'
' Artificial Intelligence and  Education: 1.5560'
' Tourism Studies and  Tourism Management: 1.8255'
' Economics and  Macroeconomics: 1.8088'
' Sociolinguistics and  Cognitive Linguistics: 1.1300'
' Psychology and  Emotion: 1.5802'
' Civil Engineering and  Environmental Sustainability: 1.4046'
' Anthropology and  Globalization: 1.2134'
' Human Rights Law and  International Law: 1.4911'
' Archaeology and  Archaeological Method & Theory: 1.9366'
' Gender Studies and  Social Sciences: 1.7608'
' Engineering and  Software Engineering: 1.5671'
' International Relations and  Public Policy: 1.9156'
' Civil Engineering and  Geotechnical Engineering: 1.9186'
' Computer Networks and  Cloud Computing: 1.2371'
' Sociology and  Politics: 1.0157'
' Microbiology and  Biology: 1.4259'
' Sociology and  Human Rights: 1.5750'
' Philosophy and  Philosophy Of Religion: 1.7817'
' Sociology and  Social Media: 1.3964'
' Educational Technology and  Online Learning: 1.6723'
' Science Communication and  Conservation Biology: 1.0077'
' Education and  Assessment: 1.0905'
' Computer Science and  Operating Systems: 1.3152'
' Computer Engineering and  Politics: 1.1173'
' Machine Learning and  Computer Vision: 1.1228'
' History and  Military History: 1.6178'
' Education and  Pedagogy: 1.1098'
' Artificial Intelligence and  Computational Mathematics: 1.0531'
' Architecture and  Culture: 1.9272'
' Evolutionary Biology and  Evolution: 1.0643'
' Sociology and  Social Research Methods and Methodology: 1.0238'
' Engineering and  Architecture: 1.4637'
' Artificial Intelligence and  Numerical Analysis: 1.8320'
' Religion and  Education: 1.5576'
' Psychology and  Architecture: 1.7431'
' Biology and  Biodiversity: 1.9995'
' Human Resource Management and  International HRM: 1.4277'
' Computer Science and  Information Security: 1.2782'
' Engineering and  Philosophy: 1.1629'
' Psychology and  Media Studies: 1.1570'
' Comparative Literature and  Literature: 1.3505'
' Cultural History and  Social History: 1.0642'
' Database Systems and  Information Technology: 1.0810'
' Electrical Engineering and  Control Systems Engineering: 1.1571'
' English and  Applied Linguistics: 1.8753'
' Music and  New Media: 1.4346'
' Archaeology and  Funerary Archaeology: 1.0599'
' Patrimonio Cultural and  Filosofa: 1.3470'
' Music and  Architecture: 1.5809'
' Philosophy and  History of Philosophy: 1.7999'
' International Law and  International Human Rights Law: 1.5035'
' Discourse Analysis and  Pragmatics: 1.3546'
' Philosophy and  Philosophy Of Law: 1.2457'
' Communication and  Technology: 1.7559'
' Cognitive Psychology and  Brain Based Learning: 1.0048'
' Geography and  Earth Sciences: 1.0430'
' Mechanical Engineering and  Social Sciences: 1.2136'
' Engineering and  Theory Of Mechanisms: 1.3190'
' Design and  Contemporary Art: 1.0616'
' Gender Studies and  Communication: 1.7395'
' Social Research Methods and Methodology and  Research Methodology: 1.6334'
' Business and  Organizational Behavior: 1.6188'
' Chemistry and  Nanoscience: 1.4340'
' Philosophy of Mind and  Philosophy Of Language: 1.0410'
' Economia and  Filosofa: 1.8056'
' Ethics and  Political Science: 1.2674'
' International Business and  Leadership: 1.0017'
' History and  Research Methodology: 1.6058'
' Biotechnology and  Nanotechnology: 1.3074'
' Anthropology and  Biology: 1.6801'
' Fashion design and  Fashion: 1.1155'
' Historia and  Literatura: 1.1297'
' Discourse Analysis and  Communication: 1.2080'
' Network Security and  Computer Networks: 1.3342'
' International Law and  Public International Law: 1.3125'
' Gender Studies and  Media Studies: 1.5988'
' Cognitive Science and  Philosophy Of Science: 1.3348'
' E-learning and  Higher Education: 1.5660'
' Economics and  Literature: 1.3091'
' Management and  Innovation: 1.0590'
' Economics and  Culture: 1.0844'
' Discourse Analysis and  English Literature: 1.1704'
' Public Policy and  Politics: 1.1823'
' Remote Sensing and  Climate Change: 1.2284'
' Religion and  Literature: 1.1169'
' Education and  Applied Linguistics: 1.6688'
' Chemistry and  Environmental Sustainability: 1.8673'
' Technology and  Environmental Sustainability: 1.0729'
' Geography and  Economics: 1.7354'
' History and  Physics: 1.3929'
' History and  Theology: 1.2539'
' Critical Theory and  Education: 1.9488'
' Communication and  Market Research: 1.3609'
' Ethics and  Feminist Theory: 1.2322'
' Research Methodology and  Biology: 1.0277'
' Hospitality Management and  Irrigation Systems Design: 1.5847'
' Urban Planning and  Urban And Regional Planning: 1.3003'
' Computer Science and  Knowledge Management: 1.9187'
' Business Administration and  Finance: 1.1876'
' Tourism Marketing and  Tourism Management: 1.2957'
' Physics and  Philosophy: 1.6192'
' Agronomy and  Agriculture: 1.0173'
' Teaching English as a Second Language and  Languages and Linguistics: 1.6654'
' Cognitive Psychology and  Education: 1.2658'
' Communication and  Information Technology: 1.5187'
' Criminal Law and  Criminal Justice: 1.0335'
' Engineering and  Politics: 1.3661'
' Archaeology and  Cultural Heritage: 1.3595'
' Physics and  Nanoscience: 1.3024'
' Computer Science and  Android Development: 1.0563'
' Pemrograman Database and  Visual Basic 6.0: 1.2391'
' Computer Science and  Research Methodology: 1.4661'
' Colonialism and  Empire: 1.7920'
' Computer Science and  Architecture: 1.9235'
' Business and  Consumer Behavior: 1.9697'
' Human Rights and  Environmental Sustainability: 1.8234'
' Marketing and  Strategic Management: 1.4477'
' Mechanical Engineering and  Civil Engineering: 1.2555'
' Genetics and  Molecular Biology: 1.2710'
' Computer Science and  Social Media: 1.3460'
' Applied Linguistics and  Cognitive Linguistics: 1.2462'
' Indian Stock Market and  Education: 1.0099'
' Physics and  Environmental Sustainability: 1.5899'
' Gender and  Environmental Sustainability: 1.2563'
' Environmental Studies and  Environmental Sustainability: 1.2900'
' Gender Studies and  Political Science: 1.3815'
' Ethics and  Bioethics: 1.3132'
' Ethics and  International Law: 1.2066'
' Cultural History and  Cultural Studies: 1.4600'
' Education and  Human Rights: 1.6663'
' Management and  Psychology: 1.3434'
' Languages and Linguistics and  Cognitive Linguistics: 1.0027'
' Music History and  Musicology: 1.2035'
' Music and  Art History: 1.3659'
' Natural Language Processing and  Network Security: 1.2701'
' Database Systems and  Web Services and SOA: 1.4370'
' Teaching English as a Second Language and  Teacher Education: 1.3492'
' Psychology and  Biology: 1.8316'
' Education and  Market Research: 1.2991'
' Educational Technology and  Distance Education: 1.7875'
' Management and  Organizational Behavior: 1.7234'
' Political Economy and  Development Economics: 1.2778'
' Marketing and  Information Technology: 1.6193'
' Patrimonio Cultural and  Antropologa: 1.4386'
' Psychology and  Gender: 1.2994'
' Religion and  Religious Studies: 1.2586'
' Communication and  Environmental Sustainability: 1.4109'
' Climate Change and  Conservation Biology: 1.5980'
' Social Networks and  Social Media: 1.0436'
' Psychology and  Ethics: 1.2531'
' Education and  Financial Ratio Analysis: 1.0259'
' Chemical Engineering and  Biotechnology: 1.3408'
' Media Studies and  Literature: 1.0552'
' Geography and  Humanities: 1.4914'
' Education and  Physics Education: 1.5829'
' Archaeology and  Neolithic Archaeology: 1.3117'
' Human Rights Law and  Human Rights: 1.5460'
' Historia and  Educacin: 1.4101'
' Sociology and  Criminology: 1.2292'
' Economics and  Consumer Behavior: 1.1201'
' Economics and  Banking: 1.4194'
' Gender Studies and  Culture: 1.6483'
' Syntax and  Linguistics: 1.0330'
' Civil Law and  European Law: 1.3635'
' Patrimonio Cultural and  Economia: 1.3360'
' Translation Studies and  Translation: 1.5155'
' Finance and  Computer Science: 1.7009'
' Marketing and  Sociology: 1.6619'
' Economics and  Biology: 1.3471'
' Computer Science and  Biology: 1.8758'
' Electrical Engineering and  Physics: 1.2354'
' Robotics and  Artificial Intelligence: 1.3480'
' Art History and  Art: 1.2275'
' Marketing and  Computer Science: 1.3071'
' Management and  Computer Science: 1.8266'
' Sociology and  Political Philosophy: 1.4872'
' Architecture and  Cultural Heritage: 1.1253'
' Education and  ICT in Education: 1.2567'
' Film Studies and  Cinema: 1.3295'
' Neuroscience and  Cognitive Science: 1.5553'
' Education and  Fashion design: 1.2491'
' Mathematics and  Statistics: 1.4352'
' Philosophy and  Metaphysics: 1.9980'
' Computer Engineering and  Data Mining: 1.5054'
' Educational Technology and  Information Technology: 1.2002'
' Natural Language Processing and  Machine Learning: 1.8661'
' Mechanical Engineering and  Robotics: 1.3214'
